Volcano_Name,Volcano_Image,Volcano_Type,Country,Region,Subregion,epoch_period,Last_Eruption,Summit_and_Elevatiuon,Latitude,Longitude,population_within_5km,population_within_10km,population_within_30km,population_within_100km,Latitude1,Longitude1,Elevation1,Placement
Iyang-Argapura,https://volcano.si.edu/gallery/photos/GVP-01138.jpg,Complex,Indonesia,Indonesia,Java,holocene,Unknown - Evidence Credible,"3088 m, 10131 ft",7.97°S,113.57°E,372,11959,1601344,10538031,-7.97,113.57,3088,On land
Jailolo,https://volcano.si.edu/gallery/photos/GVP-11745.jpg,Stratovolcano,Indonesia,Indonesia,Halmahera,holocene,Unknown - Evidence Credible,"993 m, 3258 ft",1.08°N,127.439°E,7459,21868,79855,633186,1.08,127.439,993,On land
Kaba,https://volcano.si.edu/gallery/photos/GVP-06320.jpg,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,2000 CE,"1940 m, 6365 ft",3.522°S,102.615°E,278,15352,333750,2608259,-3.522,102.615,1940,On land
Karang,https://volcano.si.edu/gallery/photos/GVP-11426.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,Unknown - Evidence Uncertain,"1768 m, 5801 ft",6.268°S,106.05°E,1006,73942,1753655,23398992,-6.268,106.05,1768,On land
Karangetang,https://volcano.si.edu/gallery/photos/GVP-10137.jpg,Stratovolcano,Indonesia,Indonesia,Sangihe Islands,holocene,2022 CE,"1797 m, 5896 ft",2.781°N,125.407°E,892,4478,11066,65667,2.781,125.407,1797,On land
Kawi-Butak,https://volcano.si.edu/gallery/photos/GVP-09265.jpg,Stratovolcano(es),Indonesia,Indonesia,Java,holocene,Unknown - Evidence Credible,"2651 m, 8698 ft",7.92°S,112.45°E,507,127978,2927446,24141573,-7.92,112.45,2651,On land
Kelimutu,https://volcano.si.edu/gallery/photos/GVP-00869.jpg,Complex,Indonesia,Indonesia,Lesser Sunda Islands,holocene,1968 CE,"1639 m, 5377 ft",8.77°S,121.82°E,746,9896,118605,606946,-8.77,121.82,1639,On land
Kelud,https://volcano.si.edu/gallery/photos/GVP-01733.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,2014 CE,"1730 m, 5676 ft",7.935°S,112.314°E,279,50901,2087876,24999627,-7.935,112.314,1730,On land
Kendang,https://volcano.si.edu/gallery/photos/GVP-11711.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,Unknown - Evidence Credible,"2594 m, 8510 ft",7.245°S,107.709°E,7758,89790,2601697,21174023,-7.245,107.709,2594,On land
Kerinci,https://volcano.si.edu/gallery/photos/GVP-12030.jpg,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,2021 CE,"3800 m, 12467 ft",1.697°S,101.264°E,304,33878,264107,1437454,-1.697,101.264,3800,On land
Klabat,https://volcano.si.edu/gallery/photos/GVP-11200.jpg,Stratovolcano,Indonesia,Indonesia,Sulawesi,holocene,Unknown - Unrest / Holocene,"1968 m, 6457 ft",1.454°N,125.031°E,1352,39935,822740,1326026,1.454,125.031,1968,On land
Krakatau,https://volcano.si.edu/gallery/photos/GVP-00568.jpg,Caldera,Indonesia,Indonesia,Krakatau,holocene,2021 CE,"155 m, 509 ft",6.102°S,105.423°E,7177,7177,8027,6326159,-6.102,105.423,155,On land
Lamongan,https://volcano.si.edu/gallery/photos/GVP-00748.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,1898 CE,"1641 m, 5384 ft",7.981°S,113.341°E,6588,66387,2193829,15322387,-7.981,113.341,1641,On land
Lawu,https://volcano.si.edu/gallery/photos/GVP-01114.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,1885 CE,"3265 m, 10712 ft",7.625°S,111.192°E,2171,68175,2344575,24931156,-7.625,111.192,3265,On land
Leroboleng,https://volcano.si.edu/gallery/photos/GVP-10064.jpg,Complex,Indonesia,Indonesia,Lesser Sunda Islands,holocene,2003 CE,"1095 m, 3593 ft",8.365°S,122.833°E,9164,26794,358627,896194,-8.365,122.833,1095,On land
Lewotobi,https://volcano.si.edu/gallery/photos/GVP-11759.jpg,Stratovolcano(es),Indonesia,Indonesia,Lesser Sunda Islands,holocene,2003 CE,"1703 m, 5587 ft",8.542°S,122.775°E,18686,59084,284976,906184,-8.542,122.775,1703,On land
Lewotolok,https://volcano.si.edu/gallery/photos/GVP-08323.jpg,Stratovolcano,Indonesia,Indonesia,Lesser Sunda Islands,holocene,2022 CE,"1431 m, 4695 ft",8.274°S,123.508°E,4390,10032,159023,695083,-8.274,123.508,1431,On land
Lokon-Empung,https://volcano.si.edu/gallery/photos/GVP-10070.jpg,Stratovolcano(es),Indonesia,Indonesia,Sulawesi,holocene,2015 CE,"1580 m, 5184 ft",1.358°N,124.792°E,12183,75684,942160,1583346,1.358,124.792,1580,On land
Lubukraya,https://volcano.si.edu/gallery/photos/GVP-04506.jpg,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,Unknown - Evidence Uncertain,"1862 m, 6109 ft",1.478°N,99.209°E,349,6931,445954,2208734,1.478,99.209,1862,On land
Mahawu,https://volcano.si.edu/gallery/photos/GVP-01270.jpg,Stratovolcano,Indonesia,Indonesia,Sulawesi,holocene,1977 CE,"1299 m, 4262 ft",1.352°N,124.865°E,18618,111852,878193,1503109,1.352,124.865,1299,On land
Makian,https://volcano.si.edu/gallery/photos/GVP-06360.jpg,Stratovolcano,Indonesia,Indonesia,Halmahera,holocene,1988 CE,"1357 m, 4452 ft",0.32°N,127.4°E,4986,8466,21360,441768,0.32,127.4,1357,On land
Malintang,https://volcano.si.edu/gallery/photos/GVP-12599.jpg,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,Unknown - Evidence Credible,"1983 m, 6506 ft",0.47°N,99.67°E,56,535,169047,1602138,0.47,99.67,1983,On land
Manuk,https://volcano.si.edu/gallery/photos/GVP-12603.jpg,Stratovolcano,Indonesia,Indonesia,Banda Sea,holocene,Unknown - Unrest / Holocene,"257 m, 843 ft",5.543°S,130.303°E,0,0,0,58,-5.543,130.303,257,On land
Marapi,https://volcano.si.edu/gallery/photos/GVP-12022.jpg,Complex,Indonesia,Indonesia,Sumatra,holocene,2018 CE,"2885 m, 9465 ft",0.38°S,100.474°E,706,57453,818039,4059773,-0.38,100.474,2885,On land
Mare,https://volcano.si.edu/gallery/photos/GVP-11743.jpg,Stratovolcano,Indonesia,Indonesia,Halmahera,holocene,Unknown - Evidence Credible,"308 m, 1010 ft",0.57°N,127.4°E,889,20821,300717,498716,0.57,127.4,308,On land
Merapi,https://volcano.si.edu/gallery/photos/GVP-01722.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,2022 CE,"2910 m, 9547 ft",7.54°S,110.446°E,49205,185849,4348473,24728414,-7.54,110.446,2910,On land
Merbabu,https://volcano.si.edu/gallery/photos/GVP-01112.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,1797 CE,"3118 m, 10230 ft",7.454°S,110.44°E,19996,249747,3019783,25096234,-7.454,110.44,3118,On land
Moti,https://volcano.si.edu/gallery/photos/GVP-11744.jpg,Stratovolcano,Indonesia,Indonesia,Halmahera,holocene,Unknown - Evidence Credible,"927 m, 3041 ft",0.454°N,127.411°E,3190,5051,89568,462393,0.454,127.411,927,On land
Muria,https://volcano.si.edu/gallery/photos/GVP-11510.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,160 BCE,"1625 m, 5331 ft",6.62°S,110.88°E,212,7653,1587867,13061031,-6.62,110.88,1625,On land
Narcondum,https://volcano.si.edu/gallery/photos/GVP-09877.jpg,Stratovolcano,India,Indonesia,Andaman Islands,holocene,Unknown - Evidence Credible,"710 m, 2329 ft",13.43°N,94.28°E,0,0,0,0,13.43,94.28,710,On land
Nila,https://volcano.si.edu/gallery/photos/GVP-06432.jpg,Stratovolcano,Indonesia,Indonesia,Banda Sea,holocene,1968 CE,"781 m, 2562 ft",6.73°S,129.5°E,200,200,200,1382,-6.73,129.5,781,On land
Paluweh,https://volcano.si.edu/gallery/photos/GVP-10057.jpg,Stratovolcano,Indonesia,Indonesia,Lesser Sunda Islands,holocene,2013 CE,"875 m, 2871 ft",8.32°S,121.708°E,446,446,5284,548803,-8.32,121.708,875,On land
Papandayan,https://volcano.si.edu/gallery/photos/GVP-01043.jpg,Stratovolcano(es),Indonesia,Indonesia,Java,holocene,2002 CE,"2665 m, 8743 ft",7.32°S,107.73°E,6835,163468,1637971,19312972,-7.32,107.73,2665,On land
Patah,https://volcano.si.edu/gallery/photos/GVP-01716.jpg,Stratovolcano?,Indonesia,Indonesia,Sumatra,holocene,Unknown - Unrest / Holocene,"2836 m, 9304 ft",4.257°S,103.306°E,47,214,64024,1302916,-4.257,103.306,2836,On land
Patuha,https://volcano.si.edu/gallery/photos/GVP-06377.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,Unknown - Evidence Credible,"2422 m, 7946 ft",7.162°S,107.4°E,12576,76063,1516827,23632738,-7.162,107.4,2422,On land
Penanggungan,https://volcano.si.edu/gallery/photos/GVP-06480.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,Unknown - Evidence Credible,"1631 m, 5351 ft",7.616°S,112.62°E,19435,416275,4605710,25773159,-7.616,112.62,1631,On land
Perbakti-Gagak,https://volcano.si.edu/gallery/photos/GVP-04516.jpg,Stratovolcano(es),Indonesia,Indonesia,Java,holocene,1939 CE,"1726 m, 5663 ft",6.75°S,106.675°E,1490,28784,2333456,36630568,-6.75,106.675,1726,On land
Peuet Sague,https://volcano.si.edu/gallery/photos/GVP-11980.jpg,Complex,Indonesia,Indonesia,Sumatra,holocene,2000 CE,"2785 m, 9137 ft",4.903°N,96.289°E,53,144,16227,1862448,4.903,96.289,2785,On land
Pulosari,https://volcano.si.edu/gallery/photos/GVP-11427.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,Unknown - Evidence Credible,"1324 m, 4344 ft",6.343°S,105.978°E,5739,42356,739785,20059788,-6.343,105.978,1324,On land
Rajabasa,https://volcano.si.edu/gallery/photos/GVP-11082.jpg,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,Unknown - Unrest / Holocene,"1281 m, 4203 ft",5.78°S,105.625°E,3534,144855,557060,7750607,-5.78,105.625,1281,On land
Ranakah,https://volcano.si.edu/gallery/photos/GVP-06333.jpg,Lava dome(s),Indonesia,Indonesia,Lesser Sunda Islands,holocene,1991 CE,"2350 m, 7710 ft",8.62°S,120.52°E,1283,63314,291790,860496,-8.62,120.52,2350,On land
Ranau,https://volcano.si.edu/gallery/photos/GVP-11473.jpg,Caldera,Indonesia,Indonesia,Sumatra,holocene,Unknown - Evidence Uncertain,"1854 m, 6083 ft",4.871°S,103.925°E,12275,12275,21279,939197,-4.871,103.925,1854,On land
Raung,https://volcano.si.edu/gallery/photos/GVP-01143.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,2021 CE,"3260 m, 10696 ft",8.119°S,114.056°E,152,572,581515,8123987,-8.119,114.056,3260,On land
Riendengan-Sempu,https://volcano.si.edu/gallery/photos/GVP-01258.jpg,Caldera,Indonesia,Indonesia,Sulawesi,holocene,Unknown - Unrest / Holocene,"1549 m, 5082 ft",1.13°N,124.758°E,263169,263169,507642,1671136,1.13,124.758,1549,On land
Rinjani,https://volcano.si.edu/gallery/photos/GVP-12125.jpg,Stratovolcano,Indonesia,Indonesia,Lesser Sunda Islands,holocene,2016 CE,"3726 m, 12224 ft",8.42°S,116.47°E,10289,55594,1374441,3555330,-8.42,116.47,3726,On land
Ruang,https://volcano.si.edu/gallery/photos/GVP-01275.jpg,Stratovolcano,Indonesia,Indonesia,Sangihe Islands,holocene,2002 CE,"725 m, 2379 ft",2.3°N,125.37°E,878,1652,2766,149159,2.3,125.37,725,On land
Salak,https://volcano.si.edu/gallery/photos/GVP-12031.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,1938 CE,"2218 m, 7277 ft",6.716°S,106.733°E,1367,80578,2675904,38154252,-6.716,106.733,2218,On land
Sangeang Api,https://volcano.si.edu/gallery/photos/GVP-00803.jpg,Complex,Indonesia,Indonesia,Lesser Sunda Islands,holocene,2020 CE,"1912 m, 6273 ft",8.2°S,119.07°E,204,1155,39301,809132,-8.2,119.07,1912,On land
"Sano, Wai",https://volcano.si.edu/gallery/photos/GVP-06388.jpg,Caldera,Indonesia,Indonesia,Lesser Sunda Islands,holocene,Unknown - Evidence Credible,"1319 m, 4327 ft",8.724°S,119.986°E,127347,127347,242184,831863,-8.724,119.986,1319,On land
Sarik-Gajah,https://volcano.si.edu/gallery/photos/GVP-12600.jpg,Pyroclastic cone(s),Indonesia,Indonesia,Sumatra,holocene,Unknown - Evidence Uncertain,"737 m, 2418 ft",0.074°N,100.189°E,5188,21465,247754,2951369,0.074,100.189,737,On land
Sekincau Belirang,https://volcano.si.edu/gallery/photos/GVP-12602.jpg,Caldera(s),Indonesia,Indonesia,Sumatra,holocene,Unknown - Unrest / Holocene,"1717 m, 5633 ft",5.107°S,104.317°E,176,2238,18911,2336471,-5.107,104.317,1717,On land
Semeru,https://volcano.si.edu/gallery/photos/GVP-00736.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,2022 CE,"3657 m, 11998 ft",8.108°S,112.922°E,2686,8375,1022197,20098931,-8.108,112.922,3657,On land
Serua,https://volcano.si.edu/gallery/photos/GVP-11979.jpg,Stratovolcano,Indonesia,Indonesia,Banda Sea,holocene,1921 CE,"608 m, 1995 ft",6.312°S,130.017°E,58,58,58,258,-6.312,130.017,608,On land
Seulawah Agam,https://volcano.si.edu/gallery/photos/GVP-11984.jpg,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,1839 CE,"1810 m, 5938 ft",5.448°N,95.658°E,226,10555,306345,1565392,5.448,95.658,1810,On land
Sibualbuali,https://volcano.si.edu/gallery/photos/GVP-04505.jpg,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,Unknown - Evidence Uncertain,"1819 m, 5968 ft",1.556°N,99.255°E,2249,10838,404339,2481584,1.556,99.255,1819,On land
Sinabung,https://volcano.si.edu/gallery/photos/GVP-00530.jpg,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,2021 CE,"2460 m, 8071 ft",3.17°N,98.392°E,997,13801,163630,7646863,3.17,98.392,2460,On land
Singkut,https://volcano.si.edu/gallery/photos/GVP-00522.jpg,Caldera(s),Indonesia,Indonesia,Sumatra,holocene,1881 CE,"2181 m, 7156 ft",3.248°N,98.501°E,11833,21448,228453,7958409,3.248,98.501,2181,On land
Sirung,https://volcano.si.edu/gallery/photos/GVP-01244.jpg,Complex,Indonesia,Indonesia,Lesser Sunda Islands,holocene,2021 CE,"862 m, 2828 ft",8.508°S,124.13°E,5966,19334,69744,418756,-8.508,124.13,862,On land
Slamet,https://volcano.si.edu/gallery/photos/GVP-06323.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,2014 CE,"3428 m, 11247 ft",7.242°S,109.208°E,856,13401,2904026,20217467,-7.242,109.208,3428,On land
Soputan,https://volcano.si.edu/gallery/photos/GVP-10069.jpg,Stratovolcano,Indonesia,Indonesia,Sulawesi,holocene,2020 CE,"1785 m, 5856 ft",1.112°N,124.737°E,4724,69991,501336,1696768,1.112,124.737,1785,On land
Sorikmarapi,https://volcano.si.edu/gallery/photos/GVP-00544.jpg,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,1986 CE,"2145 m, 7037 ft",0.686°N,99.539°E,203,1469,90257,1831957,0.686,99.539,2145,On land
Sumbing,https://volcano.si.edu/gallery/photos/GVP-12040.jpg,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,1921 CE,"2507 m, 8225 ft",2.414°S,101.728°E,3,304,49583,1209448,-2.414,101.728,2507,On land
Sumbing,https://volcano.si.edu/gallery/photos/GVP-01082.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,1730 CE,"3371 m, 11060 ft",7.384°S,110.07°E,15294,310361,2425607,25707858,-7.384,110.07,3371,On land
Sundoro,https://volcano.si.edu/gallery/photos/GVP-01077.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,1971 CE,"3147 m, 10325 ft",7.302°S,109.996°E,52462,496751,2086299,24996512,-7.302,109.996,3147,On land
Suoh,https://volcano.si.edu/gallery/photos/GVP-04513.jpg,Caldera(s),Indonesia,Indonesia,Sumatra,holocene,1933 CE,"1000 m, 3281 ft",5.25°S,104.27°E,837,2048,24619,1616500,-5.25,104.27,1000,On land
Talagabodas,https://volcano.si.edu/gallery/photos/GVP-10068.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,Unknown - Unrest / Holocene,"2201 m, 7221 ft",7.208°S,108.07°E,7953,68266,2388005,24525517,-7.208,108.07,2201,On land
Talakmau,https://volcano.si.edu/gallery/photos/GVP-04511.jpg,Complex,Indonesia,Indonesia,Sumatra,holocene,Unknown - Evidence Credible,"2919 m, 9577 ft",0.079°N,99.98°E,75,3261,352639,2728121,0.079,99.98,2919,On land
Talang,https://volcano.si.edu/gallery/photos/GVP-01016.jpg,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,2007 CE,"2575 m, 8448 ft",0.979°S,100.681°E,1593,18512,214975,3283153,-0.979,100.681,2575,On land
Tambora,https://volcano.si.edu/gallery/photos/GVP-11509.jpg,Stratovolcano,Indonesia,Indonesia,Lesser Sunda Islands,holocene,1967 CE,"2850 m, 9350 ft",8.25°S,118°E,4156,11331,89006,1036033,-8.25,118,2850,On land
Tampomas,https://volcano.si.edu/gallery/photos/GVP-04522.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,Unknown - Evidence Credible,"1684 m, 5525 ft",6.77°S,107.95°E,47404,194503,2301649,24709382,-6.77,107.95,1684,On land
Tandikat-Singgalang,https://volcano.si.edu/gallery/photos/GVP-00548.jpg,Stratovolcano(es),Indonesia,Indonesia,Sumatra,holocene,1924 CE,"2854 m, 9364 ft",0.39°S,100.331°E,130,38799,604282,4022932,-0.39,100.331,2854,On land
Tangkoko-Duasudara,https://volcano.si.edu/gallery/photos/GVP-01271.jpg,Stratovolcano,Indonesia,Indonesia,Sulawesi,holocene,1880 CE,"1334 m, 4377 ft",1.518°N,125.185°E,445,57792,135761,1227998,1.518,125.185,1334,On land
Tangkuban Parahu,https://volcano.si.edu/gallery/photos/GVP-00599.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,2019 CE,"2084 m, 6837 ft",6.77°S,107.6°E,100608,518822,5729309,32855731,-6.77,107.6,2084,On land
"Tara, Batu",https://volcano.si.edu/gallery/photos/GVP-06345.jpg,Stratovolcano,Indonesia,Indonesia,Lesser Sunda Islands,holocene,2015 CE,"633 m, 2077 ft",7.791°S,123.585°E,207,207,207,455429,-7.791,123.585,633,On land
Tarakan,https://volcano.si.edu/gallery/photos/GVP-11747.jpg,Pyroclastic cone(s),Indonesia,Indonesia,Halmahera,holocene,Unknown - Evidence Credible,"318 m, 1043 ft",1.83°N,127.83°E,18056,23570,85055,360761,1.83,127.83,318,On land
Telomoyo,https://volcano.si.edu/gallery/photos/GVP-08686.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,Unknown - Evidence Credible,"1864 m, 6115 ft",7.362°S,110.4°E,38661,166844,2794587,25617237,-7.362,110.4,1864,On land
"Telong, Bur ni",https://volcano.si.edu/gallery/photos/GVP-12019.jpg,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,1937 CE,"2617 m, 8586 ft",4.769°N,96.821°E,1342,25733,125812,1631846,4.769,96.821,2617,On land
Tengger Caldera,https://volcano.si.edu/gallery/photos/GVP-01127.jpg,Stratovolcano(es),Indonesia,Indonesia,Java,holocene,2021 CE,"2329 m, 7641 ft",7.942°S,112.95°E,27826,69451,1420878,22628278,-7.942,112.95,2329,On land
Teon,https://volcano.si.edu/gallery/photos/GVP-06348.jpg,Stratovolcano,Indonesia,Indonesia,Banda Sea,holocene,1904 CE,"728 m, 2388 ft",6.976°S,129.144°E,19,102,102,2045,-6.976,129.144,728,On land
Tidore,https://volcano.si.edu/gallery/photos/GVP-05832.jpg,Stratovolcano,Indonesia,Indonesia,Halmahera,holocene,Unknown - Evidence Credible,"1730 m, 5676 ft",0.658°N,127.4°E,37379,74120,320483,530066,0.658,127.4,1730,On land
Tigalalu,https://volcano.si.edu/gallery/photos/GVP-11707.jpg,Stratovolcano,Indonesia,Indonesia,Halmahera,holocene,Unknown - Evidence Credible,"422 m, 1385 ft",0.07°N,127.42°E,621,2350,7396,422007,0.07,127.42,422,On land
Toba,https://volcano.si.edu/gallery/photos/GVP-11491.jpg,Caldera,Indonesia,Indonesia,Sumatra,holocene,Unknown - Evidence Credible,"2157 m, 7077 ft",2.58°N,98.83°E,125908,125908,168995,3437177,2.58,98.83,2157,On land
Tobaru,https://volcano.si.edu/gallery/photos/GVP-12604.jpg,Stratovolcano,Indonesia,Indonesia,Halmahera,holocene,Unknown - Evidence Credible,"1035 m, 3396 ft",1.63°N,127.67°E,215,5963,64388,532821,1.63,127.67,1035,On land
Todoko-Ranu,https://volcano.si.edu/gallery/photos/GVP-11746.jpg,Caldera(s),Indonesia,Indonesia,Halmahera,holocene,Unknown - Evidence Credible,"979 m, 3212 ft",1.25°N,127.47°E,366,10748,56900,631999,1.25,127.47,979,On land
Tondano Caldera,https://volcano.si.edu/gallery/photos/GVP-06352.jpg,Caldera,Indonesia,Indonesia,Sulawesi,holocene,Unknown - Unrest / Holocene,"1202 m, 3944 ft",1.23°N,124.83°E,321308,321308,903706,1558655,1.23,124.83,1202,On land
Ungaran,https://volcano.si.edu/gallery/photos/GVP-04528.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,Unknown - Evidence Credible,"2050 m, 6726 ft",7.18°S,110.33°E,6705,110008,4595534,25639073,-7.18,110.33,2050,On land
Wilis,https://volcano.si.edu/gallery/photos/GVP-09356.jpg,Stratovolcano,Indonesia,Indonesia,Java,holocene,Unknown - Evidence Credible,"2563 m, 8409 ft",7.808°S,111.758°E,514,5376,2150615,21455776,-7.808,111.758,2563,On land
Wurlali,https://volcano.si.edu/gallery/photos/GVP-01247.jpg,Stratovolcano,Indonesia,Indonesia,Banda Sea,holocene,1892 CE,"868 m, 2848 ft",7.125°S,128.675°E,219,365,720,901,-7.125,128.675,868,On land
Abu,https://volcano.si.edu/gallery/photos/GVP-08952.jpg,Shield(s),Japan,"Japan, Taiwan, Marianas",Honshu,holocene,6850 BCE,"641 m, 2103 ft",34.5°N,131.6°E,3597,9594,117805,4071152,34.5,131.6,641,On land
Adatarayama,https://volcano.si.edu/gallery/photos/GVP-02055.jpg,Stratovolcano(es),Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1996 CE,"1728 m, 5669 ft",37.647°N,140.281°E,428,3936,717078,5024654,37.647,140.281,1728,On land
Agrigan,https://volcano.si.edu/gallery/photos/GVP-09520.jpg,Stratovolcano,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,1917 CE,"965 m, 3166 ft",18.77°N,145.67°E,0,0,0,0,18.77,145.67,965,On land
Ahyi,https://volcano.si.edu/gallery/photos/GVP-11697.jpg,Submarine,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,2014 CE,"-75 m, -246 ft",20.42°N,145.03°E,0,0,0,0,20.42,145.03,-75,Underwater
Aira,https://volcano.si.edu/gallery/photos/GVP-10567.jpg,Caldera,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,2022 CE,"1117 m, 3665 ft",31.593°N,130.657°E,4918,113874,905254,2610033,31.593,130.657,1117,On land
Akagisan,https://volcano.si.edu/gallery/photos/GVP-02024.jpg,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,Unknown - Evidence Uncertain,"1828 m, 5997 ft",36.56°N,139.193°E,961,4538,1116366,16718375,36.56,139.193,1828,On land
Akan,https://volcano.si.edu/gallery/photos/GVP-05610.jpg,Caldera,Japan,"Japan, Taiwan, Marianas",Hokkaido,holocene,2008 CE,"1499 m, 4918 ft",43.384°N,144.013°E,2062,2062,9756,929538,43.384,144.013,1499,On land
Akandanayama,https://volcano.si.edu/gallery/photos/GVP-12610.jpg,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,Unknown - Evidence Credible,"2109 m, 6919 ft",36.2°N,137.573°E,,,,,36.2,137.573,2109,On land
Akita-Komagatake,https://volcano.si.edu/gallery/photos/GVP-08922.jpg,Stratovolcano(es),Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1971 CE,"1637 m, 5371 ft",39.761°N,140.799°E,376,3864,216708,2521611,39.761,140.799,1637,On land
Akita-Yakeyama,https://volcano.si.edu/gallery/photos/GVP-10502.jpg,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1997 CE,"1366 m, 4482 ft",39.964°N,140.757°E,127,721,55493,3122037,39.964,140.757,1366,On land
Akusekijima,https://volcano.si.edu/gallery/photos/GVP-11795.jpg,Stratovolcano(es),Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,Unknown - Evidence Uncertain,"555 m, 1821 ft",29.465°N,129.594°E,52,52,199,749,29.465,129.594,555,On land
Alamagan,https://volcano.si.edu/gallery/photos/GVP-02138.jpg,Stratovolcano,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,870 CE,"744 m, 2441 ft",17.6°N,145.83°E,0,0,0,0,17.6,145.83,744,On land
Anatahan,https://volcano.si.edu/gallery/photos/GVP-10882.jpg,Stratovolcano,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,2008 CE,"790 m, 2592 ft",16.35°N,145.67°E,0,0,0,0,16.35,145.67,790,On land
Aogashima,https://volcano.si.edu/gallery/photos/GVP-03001.jpg,Stratovolcano,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,1785 CE,"423 m, 1388 ft",32.458°N,139.759°E,232,232,232,8559,32.458,139.759,423,On land
Asamayama,https://volcano.si.edu/gallery/photos/GVP-01465.jpg,Complex,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,2019 CE,"2568 m, 8425 ft",36.406°N,138.523°E,583,22371,457576,7629353,36.406,138.523,2568,On land
Asosan,https://volcano.si.edu/gallery/photos/GVP-01998.jpg,Caldera,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,2021 CE,"1592 m, 5223 ft",32.884°N,131.104°E,75559,75559,234591,6507519,32.884,131.104,1592,On land
Asuncion,https://volcano.si.edu/gallery/photos/GVP-09518.jpg,Stratovolcano,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,1906 CE,"857 m, 2812 ft",19.671°N,145.406°E,0,0,0,0,19.671,145.406,857,On land
Ata,https://volcano.si.edu/gallery/photos/GVP-01322.jpg,Caldera(s),Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,holocene,885 CE,"924 m, 3031 ft",31.22°N,130.57°E,93134,93134,171590,1891380,31.22,130.57,924,On land
Azumayama,https://volcano.si.edu/gallery/photos/GVP-02056.jpg,Stratovolcano(es),Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1977 CE,"1949 m, 6394 ft",37.735°N,140.244°E,128,907,548195,4877648,37.735,140.244,1949,On land
Bandaisan,https://volcano.si.edu/gallery/photos/GVP-02045.jpg,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1888 CE,"1816 m, 5958 ft",37.601°N,140.072°E,5923,17608,327454,4709782,37.601,140.072,1816,On land
Chokaisan,https://volcano.si.edu/gallery/photos/GVP-02059.jpg,Stratovolcano(es),Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1974 CE,"2236 m, 7336 ft",39.099°N,140.049°E,131,707,185681,2301576,39.099,140.049,2236,On land
